"SYMBOL ","COMPANY ","PURPOSE ","DETAILS ","DATE "
"DBL","Dilip Buildcon Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"DBSTOCKBRO","DB (International) Stock Brokers Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023 and any other business matters","12-Feb-2024"
"DCMSRIND","DCM Shriram Industries Limited","Financial Results","To consider and approve the unaudited financial results for the quarter and nine months ended December 31, 2023","12-Feb-2024"
"DHUNINV","Dhunseri Investments Limited","Financial Results","To consider and approve the unaudited financial results (Standalone and Consolidated) for the period ended December 31, 2023","12-Feb-2024"
"DPABHUSHAN","D. P. Abhushan Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"EDELWEISS","Edelweiss Financial Services Limited","Financial Results","To consider and approve the unaudited financial results for the third quarter and nine months ended December 31, 2023","12-Feb-2024"
"ELGIEQUIP","Elgi Equipments Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"EMSLIMITED","EMS Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"FMNL","Future Market Networks Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"GALAXYSURF","Galaxy Surfactants Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"GANESHBE","Ganesh Benzoplast Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"GAYAHWS","Gayatri Highways Limited","Financial Results","GAYAHWS : 13-Feb-2024 :  The Company has informed the Exchange that a Board meeting to be held on February 12, 2024 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on February 13, 2024,  To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"GAYAHWS","Gayatri Highways Limited","Financial Results","Intimation of date of the Board Meeting - To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"GEPIL","GE Power India Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"GEPIL","GE Power India Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"GILLANDERS","Gillanders Arbuthnot & Company Limited","Financial Results","To consider and approve the unaudited standalone and consolidated  financial results for the quarter ended December 31, 2023","12-Feb-2024"
"GLAXO","GlaxoSmithKline Pharmaceuticals Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"GPPL","Gujarat Pipavav Port Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"GRINFRA","G R Infraprojects Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
